ds,temp_c,precip_mm
2010-04-22,7.2,0.0
2010-04-23,8.8,0.0
2010-04-24,10.4,0.0
2010-04-25,11.9,2.0
2010-04-26,12.2,1.1
2010-04-27,12.8,0.0
2010-04-28,13.2,0.1
2010-04-29,13.8,1.7
2010-04-30,11.8,1.6
2010-05-01,10.9,4.3
2010-05-02,8.2,10.9
2010-05-03,7.1,0.3
2010-05-04,7.0,0.0
2010-05-05,8.7,0.0
2010-05-06,9.4,0.0
2010-05-07,8.3,0.3
2010-05-08,7.8,1.4
2010-05-09,8.5,0.2
2010-05-10,7.7,0.0
2010-05-11,6.8,0.3
2010-05-12,6.4,0.2
2010-05-13,7.5,0.4
2010-05-14,8.9,0.0
2010-05-15,10.0,0.0
2010-05-16,10.3,4.3
2010-05-17,11.0,0.3
2010-05-18,12.2,0.1
2010-05-19,14.1,0.0
2010-05-20,15.9,0.1
2010-05-21,17.7,0.0
2010-05-22,14.8,0.0
2010-05-23,17.5,0.0
2010-05-24,19.0,0.0
2010-05-25,13.8,0.0
2010-05-26,11.5,0.0
2010-05-27,11.4,2.8
2010-05-28,12.4,0.0
2010-05-29,12.4,7.0
2010-05-30,14.1,0.0
2010-05-31,13.1,0.5
2010-06-01,12.1,6.0
2010-06-02,13.8,0.0
2010-06-03,14.6,0.0
2010-06-04,16.9,0.0
2010-06-05,19.0,0.5
2010-06-06,18.2,2.3
2010-06-07,14.9,2.0
2010-06-08,14.7,12.0
2010-06-09,15.5,2.8
2010-06-10,15.8,0.0
2010-06-11,14.7,3.1
2010-06-12,14.1,0.0
2010-06-13,14.5,0.9
2010-06-14,14.3,2.1
2010-06-15,12.7,0.0
2010-06-16,12.5,0.0
2010-06-17,14.0,0.0
2010-06-18,13.4,1.5
2010-06-19,11.7,0.0
2010-06-20,12.3,0.0
2010-06-21,16.4,0.0
2010-06-22,18.7,0.0
2010-06-23,19.3,0.0
2010-06-24,18.9,0.0
2010-06-25,19.8,0.0
2010-06-26,19.5,0.3
2010-06-27,21.1,0.0
2010-06-28,20.9,0.2
2010-06-29,19.9,3.0
2010-06-30,19.9,0.0
2010-07-01,19.3,0.0
2010-07-02,20.6,1.5
2010-07-03,19.6,0.0
2010-07-04,18.0,0.0
2010-07-05,18.4,0.0
2010-07-06,17.1,0.0
2010-07-07,17.3,2.1
2010-07-08,19.7,0.2
2010-07-09,21.2,0.0
2010-07-10,21.0,0.0
2010-07-11,20.6,0.0
2010-07-12,19.2,0.0
2010-07-13,17.8,5.7
2010-07-14,17.8,1.2
2010-07-15,17.3,1.0
2010-07-16,17.3,3.4
2010-07-17,16.5,0.0
2010-07-18,16.5,2.4
2010-07-19,19.6,0.0
2010-07-20,20.8,0.0
2010-07-21,18.8,0.0
2010-07-22,16.9,3.6
2010-07-23,17.1,0.1
2010-07-24,18.7,0.0
2010-07-25,19.3,0.0
2010-07-26,19.1,0.3
2010-07-27,19.3,2.3
2010-07-28,18.6,0.0
2010-07-29,17.3,0.1
2010-07-30,17.6,0.0
2010-07-31,19.1,0.1
2010-08-01,17.7,0.0
2010-08-02,17.4,0.2
2010-08-03,17.5,0.0
2010-08-04,16.1,12.8
2010-08-05,15.8,0.0
2010-08-06,15.6,1.0
2010-08-07,17.7,3.3
2010-08-08,17.5,0.0
2010-08-09,18.0,0.0
2010-08-10,17.1,12.1
2010-08-11,16.5,0.0
2010-08-12,15.5,0.8
2010-08-13,14.0,5.5
2010-08-14,15.0,5.0
2010-08-15,16.7,0.0
2010-08-16,16.4,0.0
2010-08-17,16.4,2.3
2010-08-18,16.1,0.5
2010-08-19,15.9,3.2
2010-08-20,18.7,3.0
2010-08-21,19.8,0.2
2010-08-22,19.3,3.0
2010-08-23,17.8,17.7
2010-08-24,15.3,0.7
2010-08-25,14.1,25.9
2010-08-26,17.6,13.7
2010-08-27,14.1,5.7
2010-08-28,14.2,0.0
2010-08-29,13.7,0.3
2010-08-30,13.4,0.0
2010-08-31,12.4,0.0
2010-09-01,13.5,0.0
2010-09-02,13.8,0.0
2010-09-03,14.6,0.0
2010-09-04,14.5,0.0
2010-09-05,15.5,0.5
2010-09-06,15.8,8.3
2010-09-07,14.8,1.2
2010-09-08,14.4,2.5
2010-09-09,14.8,0.3
2010-09-10,16.0,0.0
2010-09-11,16.9,2.0
2010-09-12,14.7,0.0
2010-09-13,13.6,1.0
2010-09-14,16.5,1.5
2010-09-15,13.5,0.0
2010-09-16,13.2,0.2
2010-09-17,11.6,0.0
2010-09-18,11.3,0.3
2010-09-19,13.5,0.0
2010-09-20,16.0,0.1
2010-09-21,14.5,0.0
2010-09-22,15.4,0.0
2010-09-23,15.2,5.0
2010-09-24,11.8,0.7
2010-09-25,9.9,0.0
2010-09-26,10.7,4.1
2010-09-27,13.2,0.2
2010-09-28,14.1,0.3
2010-09-29,14.1,10.1
2010-09-30,12.1,0.1
2010-10-01,13.6,15.6
2010-10-02,13.4,11.3
2010-10-03,15.6,7.4
2010-10-04,14.3,5.0
2010-10-05,14.3,0.0
2010-10-06,14.0,6.0
2010-10-07,12.5,1.7
2010-10-08,15.5,1.8
2010-10-09,14.9,0.0
2010-10-10,14.5,0.0
2010-10-11,12.4,0.0
2010-10-12,11.3,0.0
2010-10-13,9.9,0.0
2010-10-14,9.9,0.0
2010-10-15,11.0,1.3
2010-10-16,9.4,0.6
2010-10-17,8.3,0.0
2010-10-18,8.9,0.0
2010-10-19,9.4,1.7
2010-10-20,4.8,0.0
2010-10-21,5.4,0.0
2010-10-22,8.3,0.0
2010-10-23,9.6,7.0
2010-10-24,5.8,0.0
2010-10-25,4.6,0.0
2010-10-26,7.1,3.9
2010-10-27,12.7,0.1
2010-10-28,12.2,0.1
2010-10-29,12.3,3.1
2010-10-30,10.7,0.2
2010-10-31,10.1,1.6
2010-11-01,9.7,0.0
2010-11-02,12.8,0.0
2010-11-03,14.0,0.2
2010-11-04,14.9,0.0
2010-11-05,14.7,2.7
2010-11-06,9.3,4.1
2010-11-07,5.6,0.7
2010-11-08,4.9,13.4
2010-11-09,6.7,2.3
2010-11-10,4.2,0.0
2010-11-11,8.1,6.2
2010-11-12,10.6,3.0
2010-11-13,9.1,0.2
2010-11-14,7.0,9.5
2010-11-15,2.8,0.0
2010-11-16,3.6,0.0
2010-11-17,5.9,4.7
2010-11-18,6.7,2.0
2010-11-19,5.2,0.0
2010-11-20,7.1,0.0
2010-11-21,5.7,0.0
2010-11-22,5.0,0.5
2010-11-23,4.6,0.0
2010-11-24,1.5,0.0
2010-11-25,0.3,0.0
2010-11-26,-1.2,0.0
2010-11-27,-1.4,0.2
2010-11-28,-2.6,0.0
2010-11-29,-0.8,0.0
2010-11-30,0.2,3.8
2010-12-01,-0.9,2.2
2010-12-02,-2.1,4.9
2010-12-03,-6.4,0.0
2010-12-04,2.0,5.9
2010-12-05,1.0,0.0
2010-12-06,-3.5,0.0
2010-12-07,-2.5,0.0
2010-12-08,-0.9,0.0
2010-12-09,-1.6,0.0
2010-12-10,3.0,0.0
2010-12-11,4.6,0.0
2010-12-12,1.3,0.0
2010-12-13,0.9,0.0
2010-12-14,1.9,0.0
2010-12-15,0.6,0.3
2010-12-16,2.7,3.5
2010-12-17,-3.2,0.1
2010-12-18,-2.4,4.3
2010-12-19,-2.4,0.0
2010-12-20,-4.3,2.1
2010-12-21,0.2,0.7
2010-12-22,-0.1,0.0
2010-12-23,0.2,0.0
2010-12-24,-0.7,0.0
2010-12-25,-4.3,0.0
2010-12-26,-5.0,0.0
2010-12-27,1.7,0.0
2010-12-28,3.9,5.1
2010-12-29,5.4,0.3
2010-12-30,4.8,0.0
2010-12-31,4.2,0.0
2011-01-01,4.6,0.4
2011-01-02,0.9,0.0
2011-01-03,-0.3,0.0
2011-01-04,2.1,0.0
2011-01-05,5.0,4.4
2011-01-06,3.3,9.8
2011-01-07,5.9,6.1
2011-01-08,6.8,3.4
2011-01-09,1.9,0.0
2011-01-10,3.2,2.0
2011-01-11,5.3,5.9
2011-01-12,7.9,8.7
2011-01-13,11.3,1.3
2011-01-14,10.0,0.9
2011-01-15,8.9,0.0
2011-01-16,10.5,0.9
2011-01-17,7.5,15.5
2011-01-18,4.4,12.0
2011-01-19,2.0,0.0
2011-01-20,4.1,0.0
2011-01-21,1.8,0.0
2011-01-22,2.3,0.0
2011-01-23,5.7,0.5
2011-01-24,4.9,0.1
2011-01-25,5.7,0.8
2011-01-26,5.1,1.1
2011-01-27,1.6,0.0
2011-01-28,0.4,0.0
2011-01-29,0.6,0.0
2011-01-30,1.6,0.0
2011-01-31,0.3,0.0
2011-02-01,2.0,0.7
2011-02-02,4.8,0.0
2011-02-03,6.3,0.0
2011-02-04,9.9,0.0
2011-02-05,10.8,0.0
2011-02-06,10.0,0.0
2011-02-07,8.2,0.0
2011-02-08,3.9,0.0
2011-02-09,7.3,0.0
2011-02-10,8.3,6.7
2011-02-11,9.4,1.4
2011-02-12,8.2,1.1
2011-02-13,6.5,5.9
2011-02-14,6.0,1.0
2011-02-15,5.1,2.6
2011-02-16,5.6,0.0
2011-02-17,6.0,0.0
2011-02-18,5.1,0.0
2011-02-19,5.3,5.4
2011-02-20,4.8,0.0
2011-02-21,4.8,1.2
2011-02-22,4.8,1.1
2011-02-23,7.3,5.6
2011-02-24,9.3,0.0
2011-02-25,9.7,0.0
2011-02-26,8.1,5.1
2011-02-27,4.8,1.3
2011-02-28,3.8,0.6
2011-03-01,3.4,0.0
2011-03-02,3.6,0.0
2011-03-03,2.1,0.0
2011-03-04,2.7,0.0
2011-03-05,2.5,0.0
2011-03-06,3.3,0.0
2011-03-07,2.9,0.0
2011-03-08,3.4,0.0
2011-03-09,6.5,0.0
2011-03-10,8.4,0.0
2011-03-11,7.2,0.0
2011-03-12,8.1,0.6
2011-03-13,8.9,0.9
2011-03-14,6.0,0.0
2011-03-15,9.3,0.0
2011-03-16,8.0,0.0
2011-03-17,6.3,0.0
2011-03-18,5.3,5.0
2011-03-19,3.2,0.0
2011-03-20,5.2,0.0
2011-03-21,7.1,0.0
2011-03-22,10.0,0.0
2011-03-23,8.6,0.0
2011-03-24,7.9,0.0
2011-03-25,8.5,0.0
2011-03-26,8.2,0.0
2011-03-27,8.3,0.0
2011-03-28,8.6,0.1
2011-03-29,9.4,1.6
2011-03-30,8.3,0.3
2011-03-31,12.3,1.4
2011-04-01,12.6,0.0
2011-04-02,13.6,0.0
2011-04-03,9.4,0.0
2011-04-04,8.5,0.0
2011-04-05,10.5,1.4
2011-04-06,14.1,0.0
2011-04-07,12.9,0.0
2011-04-08,12.8,0.0
2011-04-09,10.4,0.0
2011-04-10,10.6,0.0
2011-04-11,11.9,0.0
2011-04-12,8.8,0.0
2011-04-13,7.1,0.0
2011-04-14,9.4,0.0
2011-04-15,10.6,0.0
2011-04-16,11.9,0.0
2011-04-17,12.3,0.2
2011-04-18,11.1,0.0
2011-04-19,15.2,0.0
2011-04-20,15.6,0.0
2011-04-21,15.7,0.0
2011-04-22,16.2,0.0
2011-04-23,17.6,0.1
2011-04-24,16.3,0.1
2011-04-25,13.8,0.0
2011-04-26,11.6,0.0
2011-04-27,10.7,0.0
2011-04-28,10.4,0.0
2011-04-29,12.7,1.0
2011-04-30,14.6,0.5
2011-05-01,13.6,0.0
2011-05-02,11.0,0.0
2011-05-03,9.4,0.0
2011-05-04,9.6,0.0
2011-05-05,13.4,0.0
2011-05-06,17.0,0.0
2011-05-07,18.0,5.7
2011-05-08,16.2,6.0
2011-05-09,14.3,0.0
2011-05-10,14.4,0.0
2011-05-11,13.1,0.1
2011-05-12,12.7,0.3
2011-05-13,12.3,0.0
2011-05-14,11.9,0.6
2011-05-15,11.7,0.0
2011-05-16,14.0,0.0
2011-05-17,13.7,0.0
2011-05-18,14.7,0.0
2011-05-19,13.2,0.0
2011-05-20,13.5,0.0
2011-05-21,13.8,0.2
2011-05-22,14.1,0.2
2011-05-23,13.3,0.0
2011-05-24,13.1,0.0
2011-05-25,13.2,0.0
2011-05-26,13.2,2.7
2011-05-27,12.8,0.6
2011-05-28,12.3,0.0
2011-05-29,15.1,0.0
2011-05-30,14.8,0.9
2011-05-31,12.1,0.5
2011-06-01,13.8,0.0
2011-06-02,16.6,0.0
2011-06-03,16.8,0.0
2011-06-04,17.3,0.0
2011-06-05,15.1,9.5
2011-06-06,12.0,5.0
2011-06-07,14.2,0.0
2011-06-08,13.2,0.7
2011-06-09,12.8,2.6
2011-06-10,11.6,4.8
2011-06-11,11.9,1.1
2011-06-12,11.2,9.7
2011-06-13,16.5,0.4
2011-06-14,15.9,0.0
2011-06-15,15.9,0.0
2011-06-16,13.9,7.6
2011-06-17,12.5,9.8
2011-06-18,13.8,3.2
2011-06-19,14.2,0.0
2011-06-20,14.2,1.0
2011-06-21,16.0,0.3
2011-06-22,14.6,7.7
2011-06-23,14.6,0.6
2011-06-24,13.7,4.4
2011-06-25,16.7,2.4
2011-06-26,19.4,0.0
2011-06-27,22.9,0.0
2011-06-28,18.4,4.4
2011-06-29,15.6,0.0
2011-06-30,14.8,0.0
2011-07-01,14.5,0.0
2011-07-02,15.8,0.0
2011-07-03,17.5,0.0
2011-07-04,18.2,0.0
2011-07-05,17.5,3.7
2011-07-06,15.8,0.3
2011-07-07,15.3,4.9
2011-07-08,15.1,4.4
2011-07-09,16.3,0.9
2011-07-10,16.5,0.4
2011-07-11,17.6,0.1
2011-07-12,16.5,0.0
2011-07-13,14.5,0.0
2011-07-14,15.5,0.0
2011-07-15,17.1,0.0
2011-07-16,15.5,8.2
2011-07-17,14.9,4.9
2011-07-18,14.8,4.4
2011-07-19,14.8,3.1
2011-07-20,14.6,3.2
2011-07-21,14.9,5.0
2011-07-22,14.5,0.8
2011-07-23,14.3,3.2
2011-07-24,15.9,0.0
2011-07-25,15.6,0.0
2011-07-26,15.7,0.0
2011-07-27,16.2,0.0
2011-07-28,17.3,0.0
2011-07-29,16.0,0.0
2011-07-30,15.2,0.0
2011-07-31,16.8,0.0
2011-08-01,19.3,0.0
2011-08-02,21.1,0.2
2011-08-03,21.7,0.0
2011-08-04,17.4,12.2
2011-08-05,18.1,0.2
2011-08-06,16.0,0.9
2011-08-07,15.3,1.3
2011-08-08,15.5,0.4
2011-08-09,15.4,0.0
2011-08-10,16.0,0.0
2011-08-11,17.4,0.6
2011-08-12,18.3,0.3
2011-08-13,17.3,1.5
2011-08-14,17.7,0.1
2011-08-15,16.2,0.7
2011-08-16,17.0,0.6
2011-08-17,15.9,0.0
2011-08-18,14.0,9.7
2011-08-19,14.7,0.0
2011-08-20,16.6,1.9
2011-08-21,18.6,0.0
2011-08-22,16.7,0.1
2011-08-23,15.5,12.8
2011-08-24,15.8,0.1
2011-08-25,15.8,4.2
2011-08-26,14.4,25.8
2011-08-27,14.0,0.6
2011-08-28,14.3,0.3
2011-08-29,13.3,0.0
2011-08-30,14.5,0.0
2011-08-31,15.2,0.0
2011-09-01,14.9,0.0
2011-09-02,18.1,0.0
2011-09-03,17.7,0.0
2011-09-04,16.2,7.7
2011-09-05,14.6,0.7
2011-09-06,15.1,6.5
2011-09-07,14.2,0.4
2011-09-08,15.5,0.6
2011-09-09,18.2,0.0
2011-09-10,18.9,1.6
2011-09-11,16.5,4.7
2011-09-12,17.4,0.2
2011-09-13,14.5,0.5
2011-09-14,13.9,0.0
2011-09-15,13.4,0.0
2011-09-16,15.5,0.6
2011-09-17,14.2,1.0
2011-09-18,11.7,0.4
2011-09-19,13.6,0.0
2011-09-20,16.2,0.2
2011-09-21,15.0,3.6
2011-09-22,14.2,0.0
2011-09-23,12.7,0.0
2011-09-24,13.5,0.1
2011-09-25,15.6,0.0
2011-09-26,17.1,0.5
2011-09-27,15.5,0.0
2011-09-28,17.1,0.0
2011-09-29,18.2,0.0
2011-09-30,18.0,0.0
2011-10-01,18.4,0.0
2011-10-02,18.1,0.0
2011-10-03,18.1,0.0
2011-10-04,17.1,0.0
2011-10-05,17.2,0.1
2011-10-06,13.7,1.7
2011-10-07,11.9,0.2
2011-10-08,11.7,1.3
2011-10-09,16.0,4.3
2011-10-10,16.5,0.0
2011-10-11,15.9,0.0
2011-10-12,15.8,0.2
2011-10-13,14.7,0.1
2011-10-14,12.1,0.0
2011-10-15,9.7,0.0
2011-10-16,10.4,0.0
2011-10-17,11.8,0.0
2011-10-18,10.8,1.7
2011-10-19,7.9,0.1
2011-10-20,6.8,0.0
2011-10-21,9.0,0.0
2011-10-22,9.3,0.0
2011-10-23,13.3,0.0
2011-10-24,13.1,1.7
2011-10-25,12.3,1.1
2011-10-26,10.3,1.7
2011-10-27,11.9,3.5
2011-10-28,11.9,0.1
2011-10-29,13.0,0.2
2011-10-30,14.9,0.0
2011-10-31,14.7,0.0
2011-11-01,13.2,0.9
2011-11-02,11.4,1.6
2011-11-03,14.7,4.1
2011-11-04,12.8,12.8
2011-11-05,11.5,0.4
2011-11-06,9.9,0.0
2011-11-07,11.2,0.0
2011-11-08,10.8,0.1
2011-11-09,11.4,0.0
2011-11-10,11.0,0.9
2011-11-11,10.5,0.0
2011-11-12,13.2,0.3
2011-11-13,11.3,0.0
2011-11-14,9.9,0.0
2011-11-15,8.7,0.0
2011-11-16,7.7,0.0
2011-11-17,10.4,0.0
2011-11-18,10.6,0.0
2011-11-19,8.5,0.0
2011-11-20,6.7,0.0
2011-11-21,7.7,0.0
2011-11-22,10.3,0.4
2011-11-23,7.4,0.0
2011-11-24,9.7,0.0
2011-11-25,10.6,0.0
2011-11-26,8.9,0.0
2011-11-27,9.9,0.0
2011-11-28,5.8,0.0
2011-11-29,11.0,2.3
2011-11-30,8.1,0.0
2011-12-01,9.3,5.2
2011-12-02,5.2,0.9
2011-12-03,9.0,1.6
2011-12-04,7.0,0.9
2011-12-05,3.7,0.0
2011-12-06,4.0,0.0
2011-12-07,6.3,0.1
2011-12-08,8.0,1.4
2011-12-09,4.6,0.0
2011-12-10,1.4,0.0
2011-12-11,5.6,7.8
2011-12-12,5.5,4.4
2011-12-13,7.4,7.8
2011-12-14,4.8,0.0
2011-12-15,4.9,0.9
2011-12-16,2.7,8.6
2011-12-17,1.5,0.0
2011-12-18,0.7,0.1
2011-12-19,1.9,5.0
2011-12-20,5.5,0.6
2011-12-21,8.7,2.7
2011-12-22,8.6,0.0
2011-12-23,8.7,5.9
2011-12-24,5.0,0.7
2011-12-25,9.5,0.0
2011-12-26,10.4,0.0
2011-12-27,8.4,0.0
2011-12-28,8.0,0.0
2011-12-29,6.4,2.2
2011-12-30,5.7,3.2
2011-12-31,10.8,0.4
