ds,y,temp_c,precip_mm,dow
2010-04-11,11702.0,7.5,0.0,6
2010-04-12,12855.0,8.3,0.6,0
2010-04-13,14491.0,7.9,0.0,1
2010-04-14,16356.0,7.3,0.0,2
2010-04-15,10768.0,7.5,0.0,3
2010-04-16,14882.0,7.2,0.0,4
2010-04-17,0.0,7.7,0.0,5
2010-04-18,13029.0,9.8,0.0,6
2010-04-19,19365.0,9.9,0.0,0
2010-04-20,13525.0,8.8,0.0,1
2010-04-21,13301.0,6.7,0.0,2
2010-04-22,21568.0,7.2,0.0,3
2010-04-23,10275.0,8.8,0.0,4
2010-04-24,0.0,10.4,0.0,5
2010-04-25,8433.0,11.9,2.0,6
2010-04-26,19570.0,12.2,1.1,0
2010-04-27,23554.0,12.8,0.0,1
2010-04-28,19466.0,13.2,0.1,2
2010-04-29,17041.0,13.8,1.7,3
2010-04-30,17683.0,11.8,1.6,4
2010-05-01,0.0,10.9,4.3,5
2010-05-02,6304.0,8.2,10.9,6
2010-05-03,0.0,7.1,0.3,0
2010-05-04,11235.0,7.0,0.0,1
2010-05-05,15609.0,8.7,0.0,2
2010-05-06,31165.0,9.4,0.0,3
2010-05-07,23174.0,8.3,0.3,4
2010-05-08,0.0,7.8,1.4,5
2010-05-09,11910.0,8.5,0.2,6
2010-05-10,15731.0,7.7,0.0,0
2010-05-11,18194.0,6.8,0.3,1
2010-05-12,21675.0,6.4,0.2,2
2010-05-13,26783.0,7.5,0.4,3
2010-05-14,14356.0,8.9,0.0,4
2010-05-15,0.0,10.0,0.0,5
2010-05-16,11039.0,10.3,4.3,6
2010-05-17,13833.0,11.0,0.3,0
2010-05-18,22554.0,12.2,0.1,1
2010-05-19,9686.0,14.1,0.0,2
2010-05-20,15637.0,15.9,0.1,3
2010-05-21,10091.0,17.7,0.0,4
2010-05-22,0.0,14.8,0.0,5
2010-05-23,14030.0,17.5,0.0,6
2010-05-24,32784.0,19.0,0.0,0
2010-05-25,15052.0,13.8,0.0,1
2010-05-26,18904.0,11.5,0.0,2
2010-05-27,18004.0,11.4,2.8,3
2010-05-28,12759.0,12.4,0.0,4
2010-05-29,0.0,12.4,7.0,5
2010-05-30,6271.0,14.1,0.0,6
2010-05-31,0.0,13.1,0.5,0
2010-06-01,8346.0,12.1,6.0,1
2010-06-02,11817.0,13.8,0.0,2
2010-06-03,17627.0,14.6,0.0,3
2010-06-04,8152.0,16.9,0.0,4
2010-06-05,0.0,19.0,0.5,5
2010-06-06,14183.0,18.2,2.3,6
2010-06-07,29617.0,14.9,2.0,0
2010-06-08,25873.0,14.7,12.0,1
2010-06-09,25487.0,15.5,2.8,2
2010-06-10,9729.0,15.8,0.0,3
2010-06-11,21453.0,14.7,3.1,4
2010-06-12,0.0,14.1,0.0,5
2010-06-13,11178.0,14.5,0.9,6
2010-06-14,16101.0,14.3,2.1,0
2010-06-15,19504.0,12.7,0.0,1
2010-06-16,19016.0,12.5,0.0,2
2010-06-17,13303.0,14.0,0.0,3
2010-06-18,9571.0,13.4,1.5,4
2010-06-19,0.0,11.7,0.0,5
2010-06-20,4492.0,12.3,0.0,6
2010-06-21,12143.0,16.4,0.0,0
2010-06-22,6971.0,18.7,0.0,1
2010-06-23,16222.0,19.3,0.0,2
2010-06-24,11321.0,18.9,0.0,3
2010-06-25,7997.0,19.8,0.0,4
2010-06-26,0.0,19.5,0.3,5
2010-06-27,10918.0,21.1,0.0,6
2010-06-28,34775.0,20.9,0.2,0
2010-06-29,21209.0,19.9,3.0,1
2010-06-30,21051.0,19.9,0.0,2
2010-07-01,16514.0,19.3,0.0,3
2010-07-02,8731.0,20.6,1.5,4
2010-07-03,0.0,19.6,0.0,5
2010-07-04,5345.0,18.0,0.0,6
2010-07-05,16698.0,18.4,0.0,0
2010-07-06,11952.0,17.1,0.0,1
2010-07-07,14688.0,17.3,2.1,2
2010-07-08,11763.0,19.7,0.2,3
2010-07-09,14070.0,21.2,0.0,4
2010-07-10,0.0,21.0,0.0,5
2010-07-11,5848.0,20.6,0.0,6
2010-07-12,9790.0,19.2,0.0,0
2010-07-13,10072.0,17.8,5.7,1
2010-07-14,13415.0,17.8,1.2,2
2010-07-15,27926.0,17.3,1.0,3
2010-07-16,14312.0,17.3,3.4,4
2010-07-17,0.0,16.5,0.0,5
2010-07-18,9673.0,16.5,2.4,6
2010-07-19,18537.0,19.6,0.0,0
2010-07-20,12118.0,20.8,0.0,1
2010-07-21,13189.0,18.8,0.0,2
2010-07-22,13958.0,16.9,3.6,3
2010-07-23,13333.0,17.1,0.1,4
2010-07-24,0.0,18.7,0.0,5
2010-07-25,11637.0,19.3,0.0,6
2010-07-26,15062.0,19.1,0.3,0
2010-07-27,14320.0,19.3,2.3,1
2010-07-28,13387.0,18.6,0.0,2
2010-07-29,13806.0,17.3,0.1,3
2010-07-30,8441.0,17.6,0.0,4
2010-07-31,0.0,19.1,0.1,5
2010-08-01,9712.0,17.7,0.0,6
2010-08-02,12109.0,17.4,0.2,0
2010-08-03,16326.0,17.5,0.0,1
2010-08-04,11749.0,16.1,12.8,2
2010-08-05,16878.0,15.8,0.0,3
2010-08-06,9922.0,15.6,1.0,4
2010-08-07,0.0,17.7,3.3,5
2010-08-08,8189.0,17.5,0.0,6
2010-08-09,100226.0,18.0,0.0,0
2010-08-10,20070.0,17.1,12.1,1
2010-08-11,8217.0,16.5,0.0,2
2010-08-12,18276.0,15.5,0.8,3
2010-08-13,18221.0,14.0,5.5,4
2010-08-14,0.0,15.0,5.0,5
2010-08-15,17405.0,16.7,0.0,6
2010-08-16,11087.0,16.4,0.0,0
2010-08-17,18405.0,16.4,2.3,1
2010-08-18,22888.0,16.1,0.5,2
2010-08-19,22560.0,15.9,3.2,3
2010-08-20,18972.0,18.7,3.0,4
2010-08-21,0.0,19.8,0.2,5
2010-08-22,13911.0,19.3,3.0,6
2010-08-23,13256.0,17.8,17.7,0
2010-08-24,19096.0,15.3,0.7,1
2010-08-25,17596.0,14.1,25.9,2
2010-08-26,17624.0,17.6,13.7,3
2010-08-27,7323.0,14.1,5.7,4
2010-08-28,0.0,14.2,0.0,5
2010-08-29,8786.0,13.7,0.3,6
2010-08-30,0.0,13.4,0.0,0
2010-08-31,14175.0,12.4,0.0,1
2010-09-01,12911.0,13.5,0.0,2
2010-09-02,21966.0,13.8,0.0,3
2010-09-03,31226.0,14.6,0.0,4
2010-09-04,0.0,14.5,0.0,5
2010-09-05,7266.0,15.5,0.5,6
2010-09-06,16202.0,15.8,8.3,0
2010-09-07,15741.0,14.8,1.2,1
2010-09-08,10236.0,14.4,2.5,2
2010-09-09,13249.0,14.8,0.3,3
2010-09-10,10421.0,16.0,0.0,4
2010-09-11,0.0,16.9,2.0,5
2010-09-12,9404.0,14.7,0.0,6
2010-09-13,28457.0,13.6,1.0,0
2010-09-14,11396.0,16.5,1.5,1
2010-09-15,21477.0,13.5,0.0,2
2010-09-16,14441.0,13.2,0.2,3
2010-09-17,11853.0,11.6,0.0,4
2010-09-18,0.0,11.3,0.3,5
2010-09-19,13797.0,13.5,0.0,6
2010-09-20,25083.0,16.0,0.1,0
2010-09-21,37209.0,14.5,0.0,1
2010-09-22,14602.0,15.4,0.0,2
2010-09-23,21405.0,15.2,5.0,3
2010-09-24,28047.0,11.8,0.7,4
2010-09-25,0.0,9.9,0.0,5
2010-09-26,13498.0,10.7,4.1,6
2010-09-27,125513.0,13.2,0.2,0
2010-09-28,23697.0,14.1,0.3,1
2010-09-29,20801.0,14.1,10.1,2
2010-09-30,24958.0,12.1,0.1,3
2010-10-01,22221.0,13.6,15.6,4
2010-10-02,0.0,13.4,11.3,5
2010-10-03,20445.0,15.6,7.4,6
2010-10-04,23560.0,14.3,5.0,0
2010-10-05,34863.0,14.3,0.0,1
2010-10-06,21939.0,14.0,6.0,2
2010-10-07,30120.0,12.5,1.7,3
2010-10-08,41452.0,15.5,1.8,4
2010-10-09,0.0,14.9,0.0,5
2010-10-10,12429.0,14.5,0.0,6
2010-10-11,24943.0,12.4,0.0,0
2010-10-12,29537.0,11.3,0.0,1
2010-10-13,40353.0,9.9,0.0,2
2010-10-14,37176.0,9.9,0.0,3
2010-10-15,22376.0,11.0,1.3,4
2010-10-16,0.0,9.4,0.6,5
2010-10-17,19097.0,8.3,0.0,6
2010-10-18,19763.0,8.9,0.0,0
2010-10-19,27244.0,9.4,1.7,1
2010-10-20,24155.0,4.8,0.0,2
2010-10-21,17945.0,5.4,0.0,3
2010-10-22,23153.0,8.3,0.0,4
2010-10-23,0.0,9.6,7.0,5
2010-10-24,15587.0,5.8,0.0,6
2010-10-25,14509.0,4.6,0.0,0
2010-10-26,26011.0,7.1,3.9,1
2010-10-27,16220.0,12.7,0.1,2
2010-10-28,14358.0,12.2,0.1,3
2010-10-29,25597.0,12.3,3.1,4
2010-10-30,0.0,10.7,0.2,5
2010-10-31,16561.0,10.1,1.6,6
2010-11-01,14138.0,9.7,0.0,0
2010-11-02,24231.0,12.8,0.0,1
2010-11-03,23663.0,14.0,0.2,2
2010-11-04,60555.0,14.9,0.0,3
2010-11-05,22453.0,14.7,2.7,4
2010-11-06,0.0,9.3,4.1,5
2010-11-07,18679.0,5.6,0.7,6
2010-11-08,32418.0,4.9,13.4,0
2010-11-09,35488.0,6.7,2.3,1
2010-11-10,35294.0,4.2,0.0,2
2010-11-11,34431.0,8.1,6.2,3
2010-11-12,23222.0,10.6,3.0,4
2010-11-13,0.0,9.1,0.2,5
2010-11-14,17600.0,7.0,9.5,6
2010-11-15,38065.0,2.8,0.0,0
2010-11-16,39373.0,3.6,0.0,1
2010-11-17,28676.0,5.9,4.7,2
2010-11-18,21422.0,6.7,2.0,3
2010-11-19,25378.0,5.2,0.0,4
2010-11-20,0.0,7.1,0.0,5
2010-11-21,18160.0,5.7,0.0,6
2010-11-22,19783.0,5.0,0.5,0
2010-11-23,26938.0,4.6,0.0,1
2010-11-24,28873.0,1.5,0.0,2
2010-11-25,38121.0,0.3,0.0,3
2010-11-26,17466.0,-1.2,0.0,4
2010-11-27,0.0,-1.4,0.2,5
2010-11-28,16540.0,-2.6,0.0,6
2010-11-29,40081.0,-0.8,0.0,0
2010-11-30,26506.0,0.2,3.8,1
2010-12-01,53818.0,-0.9,2.2,2
2010-12-02,62654.0,-2.1,4.9,3
2010-12-03,32354.0,-6.4,0.0,4
2010-12-04,0.0,2.0,5.9,5
2010-12-05,32742.0,1.0,0.0,6
2010-12-06,43536.0,-3.5,0.0,0
2010-12-07,50400.0,-2.5,0.0,1
2010-12-08,46132.0,-0.9,0.0,2
2010-12-09,39792.0,-1.6,0.0,3
2010-12-10,21064.0,3.0,0.0,4
2010-12-11,0.0,4.6,0.0,5
2010-12-12,10603.0,1.3,0.0,6
2010-12-13,17719.0,0.9,0.0,0
2010-12-14,20271.0,1.9,0.0,1
2010-12-15,18444.0,0.6,0.3,2
2010-12-16,29935.0,2.7,3.5,3
2010-12-17,16893.0,-3.2,0.1,4
2010-12-18,0.0,-2.4,4.3,5
2010-12-19,3794.0,-2.4,0.0,6
2010-12-20,14923.0,-4.3,2.1,0
2010-12-21,15588.0,0.2,0.7,1
2010-12-22,3076.0,-0.1,0.0,2
2010-12-23,5727.0,0.2,0.0,3
2010-12-24,0.0,-0.7,0.0,4
2010-12-25,0.0,-4.3,0.0,5
2010-12-26,0.0,-5.0,0.0,6
2010-12-27,0.0,1.7,0.0,0
2010-12-28,0.0,3.9,5.1,1
2010-12-29,0.0,5.4,0.3,2
2010-12-30,0.0,4.8,0.0,3
2010-12-31,0.0,4.2,0.0,4
2011-01-01,0.0,4.6,0.4,5
2011-01-02,0.0,0.9,0.0,6
2011-01-03,0.0,-0.3,0.0,0
2011-01-04,8626.0,2.1,0.0,1
2011-01-05,19759.0,5.0,4.4,2
2011-01-06,23121.0,3.3,9.8,3
2011-01-07,17131.0,5.9,6.1,4
2011-01-08,0.0,6.8,3.4,5
2011-01-09,8196.0,1.9,0.0,6
2011-01-10,12853.0,3.2,2.0,0
2011-01-11,28429.0,5.3,5.9,1
2011-01-12,10604.0,7.9,8.7,2
2011-01-13,10160.0,11.3,1.3,3
2011-01-14,23125.0,10.0,0.9,4
2011-01-15,0.0,8.9,0.0,5
2011-01-16,4202.0,10.5,0.9,6
2011-01-17,13380.0,7.5,15.5,0
2011-01-18,82935.0,4.4,12.0,1
2011-01-19,17368.0,2.0,0.0,2
2011-01-20,10477.0,4.1,0.0,3
2011-01-21,15296.0,1.8,0.0,4
2011-01-22,0.0,2.3,0.0,5
2011-01-23,5235.0,5.7,0.5,6
2011-01-24,12008.0,4.9,0.1,0
2011-01-25,15599.0,5.7,0.8,1
2011-01-26,10955.0,5.1,1.1,2
2011-01-27,11306.0,1.6,0.0,3
2011-01-28,9842.0,0.4,0.0,4
2011-01-29,0.0,0.6,0.0,5
2011-01-30,3431.0,1.6,0.0,6
2011-01-31,13389.0,0.3,0.0,0
2011-02-01,15822.0,2.0,0.7,1
2011-02-02,9718.0,4.8,0.0,2
2011-02-03,15699.0,6.3,0.0,3
2011-02-04,12689.0,9.9,0.0,4
2011-02-05,0.0,10.8,0.0,5
2011-02-06,2048.0,10.0,0.0,6
2011-02-07,9141.0,8.2,0.0,0
2011-02-08,10112.0,3.9,0.0,1
2011-02-09,7125.0,7.3,0.0,2
2011-02-10,11889.0,8.3,6.7,3
2011-02-11,10521.0,9.4,1.4,4
2011-02-12,0.0,8.2,1.1,5
2011-02-13,2756.0,6.5,5.9,6
2011-02-14,13585.0,6.0,1.0,0
2011-02-15,22687.0,5.1,2.6,1
2011-02-16,16148.0,5.6,0.0,2
2011-02-17,14406.0,6.0,0.0,3
2011-02-18,9172.0,5.1,0.0,4
2011-02-19,0.0,5.3,5.4,5
2011-02-20,5349.0,4.8,0.0,6
2011-02-21,21568.0,4.8,1.2,0
2011-02-22,21875.0,4.8,1.1,1
2011-02-23,13749.0,7.3,5.6,2
2011-02-24,11894.0,9.3,0.0,3
2011-02-25,10560.0,9.7,0.0,4
2011-02-26,0.0,8.1,5.1,5
2011-02-27,4869.0,4.8,1.3,6
2011-02-28,9869.0,3.8,0.6,0
2011-03-01,12125.0,3.4,0.0,1
2011-03-02,8617.0,3.6,0.0,2
2011-03-03,20114.0,2.1,0.0,3
2011-03-04,13562.0,2.7,0.0,4
2011-03-05,0.0,2.5,0.0,5
2011-03-06,5049.0,3.3,0.0,6
2011-03-07,14018.0,2.9,0.0,0
2011-03-08,14553.0,3.4,0.0,1
2011-03-09,11900.0,6.5,0.0,2
2011-03-10,15581.0,8.4,0.0,3
2011-03-11,10511.0,7.2,0.0,4
2011-03-12,0.0,8.1,0.6,5
2011-03-13,2722.0,8.9,0.9,6
2011-03-14,16754.0,6.0,0.0,0
2011-03-15,8948.0,9.3,0.0,1
2011-03-16,12917.0,8.0,0.0,2
2011-03-17,20985.0,6.3,0.0,3
2011-03-18,13957.0,5.3,5.0,4
2011-03-19,0.0,3.2,0.0,5
2011-03-20,14185.0,5.2,0.0,6
2011-03-21,10309.0,7.1,0.0,0
2011-03-22,16543.0,10.0,0.0,1
2011-03-23,14361.0,8.6,0.0,2
2011-03-24,18223.0,7.9,0.0,3
2011-03-25,14054.0,8.5,0.0,4
2011-03-26,0.0,8.2,0.0,5
2011-03-27,4527.0,8.3,0.0,6
2011-03-28,12240.0,8.6,0.1,0
2011-03-29,32793.0,9.4,1.6,1
2011-03-30,20690.0,8.3,0.3,2
2011-03-31,16872.0,12.3,1.4,3
2011-04-01,18478.0,12.6,0.0,4
2011-04-02,0.0,13.6,0.0,5
2011-04-03,5679.0,9.4,0.0,6
2011-04-04,13996.0,8.5,0.0,0
2011-04-05,15992.0,10.5,1.4,1
2011-04-06,9169.0,14.1,0.0,2
2011-04-07,10534.0,12.9,0.0,3
2011-04-08,13005.0,12.8,0.0,4
2011-04-09,0.0,10.4,0.0,5
2011-04-10,5629.0,10.6,0.0,6
2011-04-11,13628.0,11.9,0.0,0
2011-04-12,15338.0,8.8,0.0,1
2011-04-13,18761.0,7.1,0.0,2
2011-04-14,18860.0,9.4,0.0,3
2011-04-15,12707.0,10.6,0.0,4
2011-04-16,0.0,11.9,0.0,5
2011-04-17,8180.0,12.3,0.2,6
2011-04-18,29811.0,11.1,0.0,0
2011-04-19,14456.0,15.2,0.0,1
2011-04-20,18370.0,15.6,0.0,2
2011-04-21,18202.0,15.7,0.0,3
2011-04-22,0.0,16.2,0.0,4
2011-04-23,0.0,17.6,0.1,5
2011-04-24,0.0,16.3,0.1,6
2011-04-25,0.0,13.8,0.0,0
2011-04-26,16139.0,11.6,0.0,1
2011-04-27,18187.0,10.7,0.0,2
2011-04-28,13396.0,10.4,0.0,3
2011-04-29,0.0,12.7,1.0,4
2011-04-30,0.0,14.6,0.5,5
2011-05-01,3811.0,13.6,0.0,6
2011-05-02,0.0,11.0,0.0,0
2011-05-03,12452.0,9.4,0.0,1
2011-05-04,17371.0,9.6,0.0,2
2011-05-05,17463.0,13.4,0.0,3
2011-05-06,19937.0,17.0,0.0,4
2011-05-07,0.0,18.0,5.7,5
2011-05-08,10695.0,16.2,6.0,6
2011-05-09,13347.0,14.3,0.0,0
2011-05-10,19772.0,14.4,0.0,1
2011-05-11,18901.0,13.1,0.1,2
2011-05-12,37804.0,12.7,0.3,3
2011-05-13,15238.0,12.3,0.0,4
2011-05-14,0.0,11.9,0.6,5
2011-05-15,4894.0,11.7,0.0,6
2011-05-16,16011.0,14.0,0.0,0
2011-05-17,26792.0,13.7,0.0,1
2011-05-18,19045.0,14.7,0.0,2
2011-05-19,18126.0,13.2,0.0,3
2011-05-20,15400.0,13.5,0.0,4
2011-05-21,0.0,13.8,0.2,5
2011-05-22,12734.0,14.1,0.2,6
2011-05-23,18200.0,13.3,0.0,0
2011-05-24,15930.0,13.1,0.0,1
2011-05-25,13157.0,13.2,0.0,2
2011-05-26,16251.0,13.2,2.7,3
2011-05-27,16201.0,12.8,0.6,4
2011-05-28,0.0,12.3,0.0,5
2011-05-29,4120.0,15.1,0.0,6
2011-05-30,0.0,14.8,0.9,0
2011-05-31,11742.0,12.1,0.5,1
2011-06-01,10980.0,13.8,0.0,2
2011-06-02,14587.0,16.6,0.0,3
2011-06-03,7686.0,16.8,0.0,4
2011-06-04,0.0,17.3,0.0,5
2011-06-05,13468.0,15.1,9.5,6
2011-06-06,9437.0,12.0,5.0,0
2011-06-07,18759.0,14.2,0.0,1
2011-06-08,21255.0,13.2,0.7,2
2011-06-09,28268.0,12.8,2.6,3
2011-06-10,10656.0,11.6,4.8,4
2011-06-11,0.0,11.9,1.1,5
2011-06-12,9486.0,11.2,9.7,6
2011-06-13,11263.0,16.5,0.4,0
2011-06-14,14621.0,15.9,0.0,1
2011-06-15,30446.0,15.9,0.0,2
2011-06-16,20277.0,13.9,7.6,3
2011-06-17,11750.0,12.5,9.8,4
2011-06-18,0.0,13.8,3.2,5
2011-06-19,15076.0,14.2,0.0,6
2011-06-20,16570.0,14.2,1.0,0
2011-06-21,14183.0,16.0,0.3,1
2011-06-22,15828.0,14.6,7.7,2
2011-06-23,14715.0,14.6,0.6,3
2011-06-24,9973.0,13.7,4.4,4
2011-06-25,0.0,16.7,2.4,5
2011-06-26,3782.0,19.4,0.0,6
2011-06-27,9903.0,22.9,0.0,0
2011-06-28,21846.0,18.4,4.4,1
2011-06-29,12066.0,15.6,0.0,2
2011-06-30,21950.0,14.8,0.0,3
2011-07-01,7651.0,14.5,0.0,4
2011-07-02,0.0,15.8,0.0,5
2011-07-03,3117.0,17.5,0.0,6
2011-07-04,15696.0,18.2,0.0,0
2011-07-05,22081.0,17.5,3.7,1
2011-07-06,19159.0,15.8,0.3,2
2011-07-07,19144.0,15.3,4.9,3
2011-07-08,12690.0,15.1,4.4,4
2011-07-09,0.0,16.3,0.9,5
2011-07-10,4251.0,16.5,0.4,6
2011-07-11,15134.0,17.6,0.1,0
2011-07-12,13943.0,16.5,0.0,1
2011-07-13,16288.0,14.5,0.0,2
2011-07-14,17564.0,15.5,0.0,3
2011-07-15,7307.0,17.1,0.0,4
2011-07-16,0.0,15.5,8.2,5
2011-07-17,11041.0,14.9,4.9,6
2011-07-18,15091.0,14.8,4.4,0
2011-07-19,29153.0,14.8,3.1,1
2011-07-20,17723.0,14.6,3.2,2
2011-07-21,19955.0,14.9,5.0,3
2011-07-22,10270.0,14.5,0.8,4
2011-07-23,0.0,14.3,3.2,5
2011-07-24,17664.0,15.9,0.0,6
2011-07-25,16072.0,15.6,0.0,0
2011-07-26,13708.0,15.7,0.0,1
2011-07-27,13959.0,16.2,0.0,2
2011-07-28,30258.0,17.3,0.0,3
2011-07-29,11609.0,16.0,0.0,4
2011-07-30,0.0,15.2,0.0,5
2011-07-31,20829.0,16.8,0.0,6
2011-08-01,11713.0,19.3,0.0,0
2011-08-02,15706.0,21.1,0.2,1
2011-08-03,16511.0,21.7,0.0,2
2011-08-04,41125.0,17.4,12.2,3
2011-08-05,12796.0,18.1,0.2,4
2011-08-06,0.0,16.0,0.9,5
2011-08-07,5186.0,15.3,1.3,6
2011-08-08,13341.0,15.5,0.4,0
2011-08-09,16257.0,15.4,0.0,1
2011-08-10,14411.0,16.0,0.0,2
2011-08-11,39243.0,17.4,0.6,3
2011-08-12,11965.0,18.3,0.3,4
2011-08-13,0.0,17.3,1.5,5
2011-08-14,3180.0,17.7,0.1,6
2011-08-15,10174.0,16.2,0.7,0
2011-08-16,11192.0,17.0,0.6,1
2011-08-17,25678.0,15.9,0.0,2
2011-08-18,34080.0,14.0,9.7,3
2011-08-19,10649.0,14.7,0.0,4
2011-08-20,0.0,16.6,1.9,5
2011-08-21,8162.0,18.6,0.0,6
2011-08-22,15546.0,16.7,0.1,0
2011-08-23,15168.0,15.5,12.8,1
2011-08-24,29485.0,15.8,0.1,2
2011-08-25,13316.0,15.8,4.2,3
2011-08-26,17137.0,14.4,25.8,4
2011-08-27,0.0,14.0,0.6,5
2011-08-28,6774.0,14.3,0.3,6
2011-08-29,0.0,13.3,0.0,0
2011-08-30,10225.0,14.5,0.0,1
